Id,Order ID,Resolution,Affiliate,Reason,Amount,Transaction Date,Media Partner,Sale Amount,Submission Date,,,,,,,,,,,,,
170335,6885794618,, , , ,2017-12-03T03:00:00-05:00,Ebates .,784.4,2017-12-19T14:58:02-05:00,,,,,,,,,,,,,
170550,6450738992_1,,,,,2017-09-14T03:00:00-04:00,Upromise powered by Affinity Solutions,29.99,2017-12-20T15:28:35-05:00,,,,,,,,,,,,,
173663,6193298295,,,,,2017-12-05T03:00:00-05:00,Clarus Commerce.,58.56,2018-01-03T09:50:24-05:00,,,,,,,,,,,,,
173714,6982874438,,,,,2017-12-19T03:00:00-05:00,Ebates .,308.95,2018-01-03T12:28:56-05:00,,,,,,,,,,,,,
173846,6584260939,,,,,2017-12-31T03:00:00-05:00,Ebates .,156.77,2018-01-04T10:13:00-05:00,,,,,,,,,,,,,
173898,7029377401,,,,,2018-01-02T03:12:00-05:00,TopCashback (USA) INC,369.86,2018-01-04T10:42:01-05:00,,,,,,,,,,,,,
174060,6893045006,,,,,2017-12-04T03:00:00-05:00,Ebates .,63.57,2018-01-04T14:02:04-05:00,,,,,,,,,,,,,
174431,7021684003,,,,,2017-12-27T03:00:00-05:00,Ebates .,78.38,2018-01-05T11:57:26-05:00,,,,,,,,,,,,,
175172,7031090069_1,,,,,2017-12-29T00:00:00-05:00,BeFrugal.com,592.49,2018-01-09T13:49:54-05:00,,,,,,,,,,,,,
175368,7.88604E+11,,,,,2017-12-07T03:00:00-05:00,Upromise powered by Affinity Solutions,17.49,2018-01-10T13:00:40-05:00,,,,,,,,,,,,,
175508,6905084629,,,,,2017-12-07T03:00:00-05:00,Ebates .,407.82,2018-01-11T10:35:11-05:00,,,,,,,,,,,,,
175949,6917732229,,,,,2017-12-08T00:00:00-05:00,BeFrugal.com,29.98,2018-01-14T11:05:30-05:00,,,,,,,,,,,,,
175996,"6980694925	",,,,,2017-12-18T03:00:00-05:00,iGive.com Holdings LLC,34.38,2018-01-15T08:53:31-05:00,,,,,,,,,,,,,
176122,6815012184,,,,,2017-11-29T03:00:00-05:00,Ebates .,560.9,2018-01-16T13:50:46-05:00,,,,,,,,,,,,,
176136,6712100473,,,,,2017-11-04T03:00:00-04:00,Upromise powered by Affinity Solutions,55.07,2018-01-16T14:45:07-05:00,,,,,,,,,,,,,
176472,3718.3667.251018,,,,,2018-01-16T05:02:40-05:00,Lemmoney LLC.,84.99,2018-01-18T07:49:30-05:00,,,,,,,,,,,,,
176473,3718.3665.28140,,,,,2018-01-13T12:54:48-05:00,Lemmoney LLC.,5.98,2018-01-18T07:49:35-05:00,,,,,,,,,,,,,
176623,4234234234,,,,,2017-12-21T04:39:00-05:00,TopCashback (USA) INC,323,2018-01-18T11:28:11-05:00,,,,,,,,,,,,,
176738,7058574135,,,,,2018-01-07T19:00:00-05:00,CouponCabin,51.34,2018-01-18T22:48:03-05:00,,,,,,,,,,,,,
176803,6857282712,,,,,2017-11-29T19:00:00-05:00,CouponCabin,29.23,2018-01-19T12:35:28-05:00,,,,,,,,,,,,,
176836,6894127454,,,,,2017-12-03T23:00:00-05:00,Myregistry LLC.,24.99,2018-01-19T17:14:58-05:00,,,,,,,,,,,,,
176837,6900257442,,,,,2017-12-04T23:00:00-05:00,Myregistry LLC.,48,2018-01-19T17:15:03-05:00,,,,,,,,,,,,,
176839,6905272855,,,,,2017-12-05T23:00:00-05:00,Myregistry LLC.,43,2018-01-19T17:15:09-05:00,,,,,,,,,,,,,
176840,6906913687,,,,,2017-12-05T23:00:00-05:00,Myregistry LLC.,19.99,2018-01-19T17:15:14-05:00,,,,,,,,,,,,,
176841,6916032868,,,,,2017-12-07T23:00:00-05:00,Myregistry LLC.,22.49,2018-01-19T17:15:19-05:00,,,,,,,,,,,,,
176842,6916711046,,,,,2017-12-07T23:00:00-05:00,Myregistry LLC.,24.99,2018-01-19T17:15:23-05:00,,,,,,,,,,,,,
176843,6920653053,,,,,2017-12-07T23:00:00-05:00,Myregistry LLC.,83.99,2018-01-19T17:15:26-05:00,,,,,,,,,,,,,
176844,6920653323,,,,,2017-12-07T23:00:00-05:00,Myregistry LLC.,63.19,2018-01-19T17:15:29-05:00,,,,,,,,,,,,,
176845,6920653561,,,,,2017-12-07T23:00:00-05:00,Myregistry LLC.,27.99,2018-01-19T17:15:33-05:00,,,,,,,,,,,,,
176846,6923263334,,,,,2017-12-08T23:00:00-05:00,Myregistry LLC.,46.49,2018-01-19T17:15:37-05:00,,,,,,,,,,,,,
176847,6923285652,,,,,2017-12-08T23:00:00-05:00,Myregistry LLC.,79.99,2018-01-19T17:15:40-05:00,,,,,,,,,,,,,
176848,6923613771,,,,,2017-12-08T23:00:00-05:00,Myregistry LLC.,39.99,2018-01-19T17:15:45-05:00,,,,,,,,,,,,,
176849,6924161945,,,,,2017-12-08T23:00:00-05:00,Myregistry LLC.,15.09,2018-01-19T17:15:49-05:00,,,,,,,,,,,,,
176850,6926586544,,,,,2017-12-08T23:00:00-05:00,Myregistry LLC.,36.58,2018-01-19T17:15:54-05:00,,,,,,,,,,,,,
176851,6926791095,,,,,2017-12-08T23:00:00-05:00,Myregistry LLC.,14.99,2018-01-19T17:15:57-05:00,,,,,,,,,,,,,
