lot_area,firstfloor_sqft,living_area,bath,garage_area,price
8450,856,1710,2,548,208500
9600,1262,1262,2,460,181500
11250,920,1786,2,608,223500
9550,961,1717,1,642,140000
14260,1145,2198,2,836,250000
14115,796,1362,1,480,143000
10084,1694,1694,2,636,307000
10382,1107,2090,2,484,200000
6120,1022,1774,2,468,129900
7420,1077,1077,1,205,118000
11200,1040,1040,1,384,129500
11924,1182,2324,3,736,345000
12968,912,912,1,352,144000
10652,1494,1494,2,840,279500
10920,1253,1253,1,352,157000
6120,854,854,1,576,132000
11241,1004,1004,1,480,149000
10791,1296,1296,2,516,90000
13695,1114,1114,1,576,159000
7560,1339,1339,1,294,139000
14215,1158,2376,3,853,325300
7449,1108,1108,1,280,139400
9742,1795,1795,2,534,230000
4224,1060,1060,1,572,129900
8246,1060,1060,1,270,154000
14230,1600,1600,2,890,256300
7200,900,900,1,576,134800
11478,1704,1704,2,772,306000
16321,1600,1600,1,319,207500
6324,520,520,1,240,68500
8500,649,1317,1,250,40000
8544,1228,1228,1,271,149350
11049,1234,1234,2,484,179900
10552,1700,1700,1,447,165500
7313,1561,1561,2,556,277500
13418,1132,2452,3,691,309000
10859,1097,1097,1,672,145000
8532,1297,1297,1,498,153000
7922,1057,1057,1,246,109000
6040,1152,1152,2,0,82000
8658,1324,1324,2,440,160000
16905,1328,1328,1,308,170000
9180,884,884,1,504,144000
9200,938,938,1,308,130250
7945,1150,1150,1,300,141000
7658,1752,1752,2,576,319900
12822,1518,2149,1,670,239686
11096,1656,1656,2,826,249700
4456,736,1452,2,0,113000
7742,955,955,1,386,127000
13869,794,1470,2,388,177000
6240,816,1176,1,528,114500
8472,816,816,1,516,110000
50271,1842,1842,0,894,385000
7134,1360,1360,1,572,130000
10175,1425,1425,2,576,180500
2645,983,1739,2,480,172500
11645,860,1720,2,565,196500
13682,1426,2945,3,641,438780
7200,780,780,1,352,124900
13072,1158,1158,1,576,158000
7200,581,1111,1,288,101000
6442,1370,1370,2,484,202500
10300,902,1710,2,480,140000
9375,1057,2034,2,645,219500
9591,1143,2473,2,852,317000
19900,2207,2207,2,576,180000
10665,1479,1479,2,558,226000
4608,747,747,1,220,80000
15593,1304,2287,2,667,225000
13651,2223,2223,2,516,244000
7599,845,845,1,360,129500
10141,885,1718,2,427,185000
10200,1086,1086,1,490,144900
5790,840,1605,2,379,107400
1596,526,988,1,297,91000
8475,952,952,1,283,135750
8635,1072,1285,1,240,127000
10778,1768,1768,2,0,136500
10440,682,1230,1,440,110000
13000,1182,2142,2,509,193500
4500,1337,1337,2,405,153500
10206,1563,1563,2,758,245000
8892,1065,1065,1,461,126500
8530,804,1474,2,400,168500
16059,1301,2417,2,462,260000
11911,684,1560,2,400,174000
3951,612,1224,2,528,164500
8470,1013,1526,1,0,85000
8070,990,990,1,0,123600
7200,1040,1040,1,420,109900
8500,1235,1235,1,480,98600
13360,964,964,1,432,163500
7200,1260,2291,2,506,133900
9337,905,1786,2,684,204750
9765,680,1470,2,420,185000
10264,1588,1588,2,472,214000
10921,960,960,1,432,94750
10625,835,835,1,366,83000
9320,1225,1225,1,0,128950
10603,1610,1610,2,480,205000
9206,977,1732,2,476,178000
7018,1535,1535,2,410,118964
10402,1226,1226,2,740,198900
7758,1226,1818,1,240,169500
9375,1053,1992,2,648,250000
10800,1047,1047,1,273,100000
6000,789,789,1,250,115000
8500,997,1517,2,0,115000
11751,1844,1844,2,546,190000
9525,1216,1855,2,325,136900
7750,774,1430,2,400,180000
9965,1282,2696,2,792,383970
21000,2259,2259,2,450,217000
7259,1436,2320,2,180,259500
3230,729,1458,2,440,176000
11616,1092,1092,1,288,139000
8536,1125,1125,1,430,155000
12376,1699,3222,3,594,320000
8461,728,1456,2,390,163990
21453,988,988,1,540,180000
6060,772,1123,1,264,100000
9464,1080,1080,1,288,136000
7892,1199,1199,2,530,153900
17043,1586,1586,2,435,181000
6780,520,754,1,0,84500
4928,958,958,2,440,128000
